name,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,year_avg,latitude,longitude
ACEH,35.36,39.33,33.57,13.86,8.75,13.73,18.23,14.44,25.14,30.11,37.71,31.76,25.165833333333328,4.695135,96.74939930000001
SUMATERA UTARA,48.06,45.24,29.2,11.93,13.82,20.12,26.92,29.38,33.15,36.09,34.41,41.02,30.778333333333325,2.1153547,99.5450974
SUMATERA BARAT,44.21,46.55,32.34,9.09,11.27,21.14,32.18,39.36,31.57,39.45,47.49,53.44,34.0075,-0.7399397,100.80000509999999
RIAU,42.49,44.09,26.71,14.73,21.34,26.85,29.04,32.71,31.14,36.16,42.92,36.39,32.0475,0.2933469,101.70682940000002
JAMBI,41.66,42.69,35.19,15.68,15.73,25.32,32.54,37.81,41.55,38.88,40.93,40.74,34.059999999999995,-1.4851831,102.43805809999999
SUMATERA SELATAN,48.11,53.22,39.86,19.43,18.94,32.09,39.54,42.1,42.81,47.55,48.92,53.83,40.53333333333334,-3.3194373999999995,103.914399
BENGKULU,43.11,61.85,38.71,13.98,15.97,21.92,39.33,41.4,38.92,49.88,45.45,45.0,37.96,-3.5778470999999996,102.3463875
LAMPUNG,57.88,57.38,35.79,13.94,14.36,34.73,40.31,48.71,49.15,54.28,59.14,59.32,43.74916666666667,-4.5585849000000005,105.40680790000002
DKI JAKARTA,51.37,54.28,36.93,19.84,24.32,26.47,41.03,36.18,38.96,44.33,45.63,45.4,38.72833333333333,-6.211544,106.84517199999999
JAWA BARAT,47.06,50.15,34.55,10.77,12.92,20.76,30.51,40.82,37.43,43.57,48.89,45.22,35.22083333333333,-7.090911,107.66888700000001
JAWA TENGAH,41.51,46.36,28.63,10.65,10.83,17.64,24.76,28.92,28.13,35.05,37.89,35.69,28.838333333333335,-7.150975,110.1402594
DI YOGYAKARTA,52.93,56.32,33.9,5.36,6.13,15.5,27.83,39.86,36.22,45.52,44.99,45.31,34.15583333333334,-7.8753849,110.4262088
JAWA TIMUR,48.69,52.65,36.81,15.82,16.06,22.87,28.57,34.17,32.56,42.09,45.47,47.77,35.29416666666666,-7.536063900000001,112.2384017
BANTEN,49.05,51.14,31.12,15.72,18.57,24.17,32.3,36.05,37.97,38.28,42.61,38.51,34.62416666666667,-6.4058171999999995,106.0640179
BALI,59.29,45.98,25.41,3.22,2.07,2.07,2.57,3.68,5.28,9.53,9.32,19.0,15.618333333333332,-8.409517800000001,115.18891599999999
NUSA TENGGARA BARAT,38.93,36.7,19.07,6.23,14.42,18.59,22.28,27.05,31.93,34.49,37.3,43.9,27.574166666666667,-8.6529334,117.3616476
NUSA TENGGARA TIMUR,39.26,38.5,25.19,13.32,11.57,19.69,27.15,29.11,34.8,36.53,42.51,38.0,29.635833333333334,-8.6573819,121.07937050000001
KALIMANTAN BARAT,46.62,49.41,29.42,14.12,12.46,20.84,31.65,39.89,31.36,37.95,42.03,38.39,32.845,-0.2787808,111.47528510000001
KALIMANTAN TENGAH,39.74,48.28,35.86,25.03,13.73,21.07,30.07,37.29,43.85,53.47,58.21,48.27,37.90583333333333,-1.6814878,113.38235449999999
KALIMANTAN SELATAN,37.2,48.35,37.53,13.29,16.85,23.92,37.23,45.8,43.69,49.64,52.74,51.21,38.12083333333333,-3.0926415,115.28375849999999
KALIMANTAN TIMUR,50.84,61.25,39.94,26.32,26.31,34.62,38.59,39.1,51.19,51.34,54.76,59.78,44.50333333333333,1.6406296000000002,116.419389
SULAWESI UTARA,59.1,44.01,33.13,13.98,19.14,24.62,26.17,40.05,45.05,52.25,51.48,42.39,37.61416666666667,0.6246932,123.97500179999999
SULAWESI TENGAH,47.94,48.35,38.94,17.66,9.49,19.07,34.01,41.35,39.25,40.3,50.84,49.69,36.407500000000006,-1.4300254,121.4456179
SULAWESI SELATAN,48.14,49.26,43.26,20.9,26.28,18.98,34.42,46.81,38.38,34.27,42.56,54.82,38.17333333333333,-3.6687993999999997,119.9740534
SULAWESI TENGGARA,39.18,54.32,29.39,10.48,12.76,19.07,21.96,28.76,32.3,35.91,40.29,43.63,30.670833333333334,-4.144909999999999,122.174605
GORONTALO,30.5,44.86,29.97,12.32,6.14,10.24,24.73,35.31,43.15,41.01,58.8,56.9,32.8275,0.6999371999999999,122.44672379999999
SULAWESI BARAT,42.59,49.72,38.62,4.64,11.25,23.31,10.49,30.86,31.31,36.2,43.08,49.54,30.9675,-2.8441370999999998,119.23207839999999
MALUKU,31.79,38.16,26.92,4.4,20.95,38.75,40.5,42.29,46.88,46.9,45.18,43.29,35.50083333333333,-3.2384616000000004,130.1452734
MALUKU UTARA,56.74,41.15,24.96,21.4,9.77,17.02,9.5,16.37,25.83,37.03,39.47,43.19,28.535833333333333,1.5709993,127.8087693
PAPUA BARAT,50.4,57.41,45.75,12.17,10.73,14.53,30.53,38.76,44.78,38.17,53.51,58.51,37.93749999999999,-1.3361154,133.1747162
PAPUA,41.14,51.43,32.88,17.16,19.56,27.09,17.49,28.97,38.44,46.58,55.22,36.25,34.35083333333333,-4.269928,138.0803529
