Pintu,Tahunan,Tahun
A. Pintu Udara,3427144,2020
B. Pintu Laut,2049202,2020
C. Pintu Darat,2629500,2020
Jumlah (A+B+C),8105846,2020
A. Pintu Udara,9834706,2019
B. Pintu Laut,4160632,2019
C. Pintu Darat,2111616,2019
Jumlah (A+B+C),16106954,2019
A. Pintu Udara,79077,2021
B. Pintu Laut,301341,2021
C. Pintu Darat,681114,2021
Jumlah (A+B+C),1061532,2021
A. Pintu Udara,10088781,2018
B. Pintu Laut,3214420,2018
C. Pintu Darat,2507104,2018
Jumlah (A+B+C),15810305,2018
A. Pintu Udara,9670655,2017
B. Pintu Laut,2782655,2017
C. Pintu Darat,1586489,2017
Jumlah (A+B+C),14039799,2017
