tahun,bulan,destinasi_wisata,jumlah
2020,1,Museum Sejarah Jakarta,1831
2020,1,Taman Impian Jaya Ancol,516
2020,1,Taman Mini Indonesia Indah,0
2020,1,Taman Margasatwa Ragunan,449
2020,1,Monumen Nasional,2070
2020,1,Museum Nasional,2877
2020,1,Museum Satria Mandala,0
2020,1,Museum Tekstil,312
2020,1,Museum Bahari,274
2020,1,Museum Wayang,865
2020,1,Museum Seni Rupa dan Keramik,300
2020,1,Taman Arkeologi Onrust,1
2020,1,Pelabuhan Sunda Kelapa,115
2020,1,Kepulauan Seribu,1352
2020,1,PBB Setu babakan,2
2020,1,Museum Prasasti,50
2020,1,Planetarium,0
2020,1,Rumah si Pitung,0
2020,1,Kawasan Kota Tua,6009
2020,1,Museum Joang,0
2020,2,Museum Nasional,1877
2020,2,Museum Sejarah Jakarta,1755
2020,2,Museum Satria Mandala,0
2020,2,Monumen Nasional,1689
2020,2,Museum Seni Rupa dan Keramik,234
2020,2,Taman Mini Indonesia Indah,0
2020,2,Taman Impian Jaya Ancol,395
2020,2,Museum Tekstil,121
2020,2,Taman Margasatwa Ragunan,372
2020,2,Museum Bahari,149
2020,2,Museum Prasasti,12
2020,2,Museum Joang,15
2020,2,Museum Wayang,1006
2020,2,Rumah si Pitung,0
2020,2,Planetarium,0
2020,2,Kawasan Kota Tua,7123
2020,2,Kepulauan Seribu,800
2020,2,Pelabuhan Sunda Kelapa,61
2020,2,Taman Arkeologi Onrust,4
2020,2,PBB Setu babakan,10
2020,3,Museum Seni Rupa dan Keramik,142
2020,3,Taman Mini Indonesia Indah,0
2020,3,Monumen Nasional,580
2020,3,Museum Nasional,546
2020,3,Museum Satria Mandala,0
2020,3,Museum Sejarah Jakarta,389
2020,3,Museum Tekstil,73
2020,3,Museum Bahari,55
2020,3,Museum Wayang,648
2020,3,Taman Margasatwa Ragunan,82
2020,3,Taman Arkeologi Onrust,0
2020,3,Museum Joang,18
2020,3,Kawasan Kota Tua,2144
2020,3,Rumah si Pitung,0
2020,3,Planetarium,0
2020,3,Taman Impian Jaya Ancol,165
2020,3,PBB Setu babakan,0
2020,3,Kepulauan Seribu,419
2020,3,Museum Prasasti,18
2020,3,Pelabuhan Sunda Kelapa,0
2020,4,Taman Impian Jaya Ancol,0
2020,4,Taman Mini Indonesia Indah,0
2020,4,Taman Margasatwa Ragunan,0
2020,4,Monumen Nasional,0
2020,4,Museum Nasional,0
2020,4,Museum Satria Mandala,0
2020,4,Museum Sejarah Jakarta,0
2020,4,Museum Tekstil,0
2020,4,Museum Seni Rupa dan Keramik,0
2020,4,Museum Wayang,0
2020,4,Museum Bahari,0
2020,4,Museum Joang,0
2020,4,Rumah si Pitung,0
2020,4,Planetarium,0
2020,4,Museum Prasasti,0
2020,4,PBB Setu babakan,0
2020,4,Kawasan Kota Tua,0
2020,4,Pelabuhan Sunda Kelapa,0
2020,4,Taman Arkeologi Onrust,0
2020,4,Kepulauan Seribu,0
2020,5,Museum Joang,0
2020,5,Planetarium,0
2020,5,Museum Prasasti,0
2020,5,PBB Setu babakan,0
2020,5,Rumah si Pitung,0
2020,5,Kepulauan Seribu,0
2020,5,Pelabuhan Sunda Kelapa,0
2020,5,Kawasan Kota Tua,0
2020,5,Taman Arkeologi Onrust,0
2020,5,Museum Wayang,0
2020,5,Museum Sejarah Jakarta,0
2020,5,Museum Bahari,0
2020,5,Museum Seni Rupa dan Keramik,0
2020,5,Taman Impian Jaya Ancol,0
2020,5,Taman Mini Indonesia Indah,0
2020,5,Monumen Nasional,0
2020,5,Museum Nasional,0
2020,5,Museum Satria Mandala,0
2020,5,Museum Tekstil,0
2020,5,Taman Margasatwa Ragunan,0
2020,6,Taman Mini Indonesia Indah,0
2020,6,Taman Margasatwa Ragunan,3
2020,6,Monumen Nasional,0
2020,6,Museum Nasional,7
2020,6,Museum Satria Mandala,0
2020,6,Museum Sejarah Jakarta,3
2020,6,Museum Tekstil,5
2020,6,Museum Bahari,1
2020,6,Museum Wayang,18
2020,6,Museum Joang,0
2020,6,Pelabuhan Sunda Kelapa,0
2020,6,Kepulauan Seribu,48
2020,6,PBB Setu babakan,0
2020,6,Museum Prasasti,0
2020,6,Taman Impian Jaya Ancol,0
2020,6,Planetarium,0
2020,6,Museum Seni Rupa dan Keramik,5
2020,6,Taman Arkeologi Onrust,0
2020,6,Kawasan Kota Tua,73
2020,6,Rumah si Pitung,0
2020,7,Planetarium,0
2020,7,Taman Impian Jaya Ancol,0
2020,7,Taman Mini Indonesia Indah,0
2020,7,Taman Margasatwa Ragunan,7
2020,7,Monumen Nasional,0
2020,7,Museum Nasional,13
2020,7,Museum Satria Mandala,0
2020,7,Museum Sejarah Jakarta,0
2020,7,Rumah si Pitung,1
2020,7,Museum Tekstil,0
2020,7,Museum Seni Rupa dan Keramik,2
2020,7,Museum Wayang,11
2020,7,Museum Joang,0
2020,7,Taman Arkeologi Onrust,0
2020,7,Pelabuhan Sunda Kelapa,0
2020,7,Kepulauan Seribu,221
2020,7,PBB Setu babakan,0
2020,7,Museum Prasasti,0
2020,7,Museum Bahari,13
2020,7,Kawasan Kota Tua,88
2020,8,Taman Impian Jaya Ancol,0
2020,8,Museum Wayang,28
2020,8,Planetarium,0
2020,8,Museum Prasasti,0
2020,8,PBB Setu babakan,0
2020,8,Kepulauan Seribu,209
2020,8,Pelabuhan Sunda Kelapa,0
2020,8,Taman Arkeologi Onrust,0
2020,8,Museum Joang,0
2020,8,Museum Seni Rupa dan Keramik,10
2020,8,Museum Bahari,5
2020,8,Museum Tekstil,0
2020,8,Museum Sejarah Jakarta,0
2020,8,Museum Satria Mandala,0
2020,8,Museum Nasional,1
2020,8,Monumen Nasional,0
2020,8,Taman Margasatwa Ragunan,0
2020,8,Taman Mini Indonesia Indah,0
2020,8,Rumah si Pitung,0
2020,8,Kawasan Kota Tua,125
2020,9,Rumah si Pitung,0
