jumlah,category
1600594,Domestik
1551967,Domestik
1211697,Domestik
191002,Domestik
27500,Domestik
174352,Domestik
427731,Domestik
574597,Domestik
500591,Domestik
601391,Domestik
828893,Domestik
931481,Domestik
626097,Internasional
444267,Internasional
187899,Internasional
17499,Internasional
9460,Internasional
14619,Internasional
22618,Internasional
28513,Internasional
32043,Internasional
36549,Internasional
42028,Internasional
56330,Internasional
2226691,Total
1996234,Total
1399596,Total
208501,Total
36960,Total
188971,Total
450349,Total
603110,Total
532634,Total
637940,Total
870921,Total
987811,Total
