tahun,bulan,destinasi_wisata,jumlah
2020,1,Museum Bahari,2087.0
2020,1,Planetarium,9654.0
2020,1,Museum Prasasti,1030.0
2020,1,PBB Setu babakan,35369.0
2020,1,Kepulauan Seribu,31041.0
2020,1,Pelabuhan Sunda Kelapa,931.0
2020,1,Taman Arkeologi Onrust,2200.0
2020,1,Museum Joang,581.0
2020,1,Museum Wayang,21231.0
2020,1,Museum Seni Rupa dan Keramik,12190.0
2020,1,Museum Tekstil,2658.0
2020,1,Museum Sejarah Jakarta,66251.0
2020,1,Museum Satria Mandala,2046.0
2020,1,Museum Nasional,18145.0
2020,1,Monumen Nasional,24.325
2020,1,Taman Margasatwa Ragunan,289748.0
2020,1,Rumah si Pitung,2048.0
2020,1,Taman Mini Indonesia Indah,272960.0
2020,1,Kawasan Kota Tua,456902.0
2020,1,Taman Impian Jaya Ancol,620327.0
2020,2,Taman Mini Indonesia Indah,317391.0
2020,2,Taman Margasatwa Ragunan,191179.0
2020,2,Monumen Nasional,146042.0
2020,2,Museum Nasional,27928.0
2020,2,Museum Satria Mandala,518.0
2020,2,Museum Sejarah Jakarta,59895.0
2020,2,Kawasan Kota Tua,587641.0
2020,2,Rumah si Pitung,1811.0
2020,2,Planetarium,10931.0
2020,2,Museum Wayang,14728.0
2020,2,Museum Joang,1284.0
2020,2,Taman Arkeologi Onrust,3236.0
2020,2,Pelabuhan Sunda Kelapa,1895.0
2020,2,Kepulauan Seribu,63568.0
2020,2,PBB Setu babakan,28848.0
2020,2,Museum Prasasti,973.0
2020,2,Museum Seni Rupa dan Keramik,11800.0
2020,2,Museum Tekstil,3049.0
2020,2,Museum Bahari,2102.0
2020,2,Taman Impian Jaya Ancol,638729.0
2020,3,Rumah si Pitung,672.0
2020,3,PBB Setu babakan,11850.0
2020,3,Kepulauan Seribu,17948.0
2020,3,Pelabuhan Sunda Kelapa,1304.0
2020,3,Taman Arkeologi Onrust,951.0
2020,3,Museum Joang,306.0
2020,3,Museum Wayang,2564.0
2020,3,Museum Seni Rupa dan Keramik,2666.0
2020,3,Museum Prasasti,268.0
2020,3,Museum Bahari,1209.0
2020,3,Museum Sejarah Jakarta,8947.0
2020,3,Museum Satria Mandala,619.0
2020,3,Museum Nasional,12820.0
2020,3,Monumen Nasional,50328.0
2020,3,Taman Margasatwa Ragunan,82706.0
2020,3,Taman Mini Indonesia Indah,89617.0
2020,3,Taman Impian Jaya Ancol,358871.0
2020,3,Museum Tekstil,1206.0
2020,3,Kawasan Kota Tua,121516.0
2020,3,Planetarium,1693.0
2020,4,Museum Bahari,0.0
2020,4,Rumah si Pitung,0.0
2020,4,Kawasan Kota Tua,0.0
2020,4,PBB Setu babakan,0.0
2020,4,Kepulauan Seribu,46.0
2020,4,Pelabuhan Sunda Kelapa,380.0
2020,4,Taman Arkeologi Onrust,0.0
2020,4,Museum Joang,0.0
2020,4,Museum Wayang,0.0
2020,4,Museum Seni Rupa dan Keramik,0.0
2020,4,Museum Prasasti,0.0
2020,4,Museum Tekstil,0.0
2020,4,Museum Sejarah Jakarta,0.0
2020,4,Museum Satria Mandala,0.0
2020,4,Museum Nasional,0.0
2020,4,Monumen Nasional,0.0
2020,4,Taman Margasatwa Ragunan,0.0
2020,4,Taman Mini Indonesia Indah,0.0
2020,4,Taman Impian Jaya Ancol,0.0
2020,4,Planetarium,0.0
2020,5,Taman Impian Jaya Ancol,0.0
2020,5,Taman Mini Indonesia Indah,0.0
2020,5,Kawasan Kota Tua,0.0
2020,5,Planetarium,0.0
2020,5,Taman Margasatwa Ragunan,0.0
2020,5,Monumen Nasional,0.0
2020,5,Museum Nasional,0.0
2020,5,Rumah si Pitung,0.0
2020,5,Museum Sejarah Jakarta,0.0
2020,5,Museum Tekstil,0.0
2020,5,Museum Bahari,0.0
2020,5,Museum Satria Mandala,0.0
2020,5,Museum Wayang,0.0
2020,5,Museum Joang,0.0
2020,5,Taman Arkeologi Onrust,0.0
2020,5,Pelabuhan Sunda Kelapa,0.0
2020,5,Kepulauan Seribu,0.0
2020,5,PBB Setu babakan,0.0
2020,5,Museum Prasasti,0.0
2020,5,Museum Seni Rupa dan Keramik,0.0
2020,6,Museum Joang,94.0
2020,6,Taman Arkeologi Onrust,948.0
2020,6,Pelabuhan Sunda Kelapa,753.0
2020,6,Planetarium,0.0
2020,6,PBB Setu babakan,6057.0
2020,6,Museum Prasasti,104.0
2020,6,Rumah si Pitung,788.0
2020,6,Kepulauan Seribu,8859.0
2020,6,Museum Seni Rupa dan Keramik,233.0
2020,6,Museum Wayang,432.0
2020,6,Museum Tekstil,190.0
2020,6,Museum Bahari,173.0
2020,6,Taman Impian Jaya Ancol,28175.0
2020,6,Taman Mini Indonesia Indah,28090.0
2020,6,Taman Margasatwa Ragunan,3837.0
2020,6,Kawasan Kota Tua,2619.0
2020,6,Museum Nasional,173.0
2020,6,Museum Satria Mandala,0.0
2020,6,Museum Sejarah Jakarta,982.0
2020,6,Monumen Nasional,0.0
2020,7,Planetarium,0.0
2020,7,Museum Prasasti,194.0
2020,7,PBB Setu babakan,1548.0
2020,7,Kepulauan Seribu,20360.0
2020,7,Pelabuhan Sunda Kelapa,927.0
2020,7,Taman Arkeologi Onrust,3711.0
2020,7,Museum Joang,115.0
2020,7,Museum Wayang,819.0
2020,7,Museum Bahari,632.0
2020,7,Museum Tekstil,132.0
2020,7,Museum Sejarah Jakarta,2066.0
2020,7,Museum Nasional,583.0
2020,7,Monumen Nasional,0.0
2020,7,Taman Margasatwa Ragunan,9365.0
2020,7,Taman Mini Indonesia Indah,82696.0
2020,7,Taman Impian Jaya Ancol,85142.0
2020,7,Museum Seni Rupa dan Keramik,327.0
2020,7,Museum Satria Mandala,0.0
2020,7,Kawasan Kota Tua,3925.0
2020,7,Rumah si Pitung,1722.0
2020,8,Kawasan Kota Tua,3386.0
2020,8,Rumah si Pitung,2597.0
2020,8,Planetarium,0.0
2020,8,Museum Prasasti,280.0
2020,8,PBB Setu babakan,21997.0
2020,8,Kepulauan Seribu,37986.0
2020,8,Pelabuhan Sunda Kelapa,2535.0
2020,8,Taman Arkeologi Onrust,4257.0
2020,8,Museum Joang,359.0
2020,8,Taman Impian Jaya Ancol,174988.0
2020,8,Museum Seni Rupa dan Keramik,321.0
2020,8,Taman Margasatwa Ragunan,16570.0
2020,8,Monumen Nasional,0.0
2020,8,Museum Nasional,233.0
2020,8,Taman Mini Indonesia Indah,134546.0
2020,8,Museum Sejarah Jakarta,1857.0
2020,8,Museum Tekstil,162.0
2020,8,Museum Bahari,887.0
2020,8,Museum Satria Mandala,0.0
2020,8,Museum Wayang,506.0
2020,9,Taman Impian Jaya Ancol,71688.0
2020,9,Museum Bahari,269.0
2020,9,Taman Mini Indonesia Indah,36977.0
2020,9,Taman Margasatwa Ragunan,6109.0
2020,9,Monumen Nasional,0.0
2020,9,Museum Nasional,105.0
2020,9,Museum Satria Mandala,0.0
2020,9,Museum Sejarah Jakarta,769.0
2020,9,Museum Tekstil,80.0
2020,9,Museum Seni Rupa dan Keramik,237.0
2020,9,Museum Joang,113.0
2020,9,Museum Wayang,422.0
2020,9,Kawasan Kota Tua,1837.0
2020,9,Rumah si Pitung,1018.0
2020,9,Planetarium,0.0
2020,9,Kepulauan Seribu,15270.0
2020,9,PBB Setu babakan,4704.0
2020,9,Pelabuhan Sunda Kelapa,2155.0
2020,9,Taman Arkeologi Onrust,2969.0
2020,9,Museum Prasasti,125.0
2020,10,Museum Wayang,1390.0
2020,10,Rumah si Pitung,1342.0
2020,10,Planetarium,0.0
2020,10,Museum Prasasti,203.0
2020,10,PBB Setu babakan,10372.0
2020,10,Kepulauan Seribu,14944.0
2020,10,Pelabuhan Sunda Kelapa,2232.0
2020,10,Taman Arkeologi Onrust,2783.0
2020,10,Museum Joang,249.0
2020,10,Kawasan Kota Tua,8618.0
2020,10,Museum Seni Rupa dan Keramik,422.0
2020,10,Museum Tekstil,96.0
2020,10,Museum Sejarah Jakarta,2864.0
2020,10,Museum Satria Mandala,0.0
2020,10,Museum Nasional,65308.0
2020,10,Monumen Nasional,443034.0
2020,10,Taman Margasatwa Ragunan,600470.0
2020,10,Taman Mini Indonesia Indah,962277.0
2020,10,Taman Impian Jaya Ancol,1978996.0
2020,10,Museum Bahari,383.0
2020,11,Museum Tekstil,161.0
2020,11,Museum Sejarah Jakarta,5610.0
2020,11,Museum Satria Mandala,0.0
2020,11,Taman Impian Jaya Ancol,126744.0
2020,11,Taman Margasatwa Ragunan,21741.0
2020,11,Taman Mini Indonesia Indah,107810.0
2020,11,Museum Bahari,729.0
2020,11,Museum Nasional,1451.0
2020,11,Museum Seni Rupa dan Keramik,1003.0
2020,11,Monumen Nasional,0.0
2020,11,Museum Joang,267.0
2020,11,Taman Arkeologi Onrust,4186.0
2020,11,Pelabuhan Sunda Kelapa,2752.0
2020,11,Kepulauan Seribu,18301.0
2020,11,PBB Setu babakan,17181.0
2020,11,Museum Prasasti,417.0
2020,11,Planetarium,0.0
2020,11,Rumah si Pitung,2316.0
2020,11,Kawasan Kota Tua,3354.0
2020,11,Museum Wayang,2728.0
2020,12,Taman Arkeologi Onrust,1621.0
2020,12,Pelabuhan Sunda Kelapa,2296.0
2020,12,Kepulauan Seribu,22289.0
