,Tahun,Kebangsaan,Tahunan
1,2017,Malaysia,2121888
19,2017,China,2093171
3,2017,Singapore,1554119
164,2017,Australia,1256927
34,2017,Timor Leste,960026
1,2018,Malaysia,2503344
19,2018,China,2139161
3,2018,Singapore,1768744
34,2018,Timor Leste,1762442
164,2018,Australia,1301478
1,2019,Malaysia,2980753
19,2019,China,2072079
3,2019,Singapore,1934445
164,2019,Australia,1386803
34,2019,Timor Leste,1178381
34,2020,Timor Leste,994590
1,2020,Malaysia,980118
3,2020,Singapore,280492
164,2020,Australia,256291
19,2020,China,239768
34,2021,Timor Leste,557682
1,2021,Malaysia,331496
19,2021,China,38623
177,2021,Papua New Guinea,18853
3,2021,Singapore,15103
