,Tahun,Kebangsaan,Tahunan
10,2017,A S E A N,4017173
39,2017,TOTAL ASIA (Excl.ASEAN),4793618
56,2017,TOTAL MIDDLE EAST,267665
115,2017,TOTAL EUROPE,1846035
163,2017,TOTAL AMERICA,497356
186,2017,TOTAL OCEANIA,1391576
247,2017,TOTAL AFRICA,79345
10,2018,A S E A N,4866427
39,2018,TOTAL ASIA (Excl.ASEAN),5382056
56,2018,TOTAL MIDDLE EAST,246702
115,2018,TOTAL EUROPE,1869195
163,2018,TOTAL AMERICA,518573
186,2018,TOTAL OCEANIA,1444460
247,2018,TOTAL AFRICA,77338
10,2019,A S E A N,5609113
39,2019,TOTAL ASIA (Excl.ASEAN),4812764
56,2019,TOTAL MIDDLE EAST,246120
115,2019,TOTAL EUROPE,1912424
163,2019,TOTAL AMERICA,591279
186,2019,TOTAL OCEANIA,1472779
247,2019,TOTAL AFRICA,85408
10,2020,A S E A N,1521447
39,2020,TOTAL ASIA (Excl.ASEAN),1592037
56,2020,TOTAL MIDDLE EAST,49781
115,2020,TOTAL EUROPE,441179
163,2020,TOTAL AMERICA,134072
186,2020,TOTAL OCEANIA,297786
247,2020,TOTAL AFRICA,16621
10,2021,A S E A N,323798
39,2021,TOTAL ASIA (Excl.ASEAN),535394
56,2021,TOTAL MIDDLE EAST,3569
115,2021,TOTAL EUROPE,36655
163,2021,TOTAL AMERICA,14887
186,2021,TOTAL OCEANIA,18474
247,2021,TOTAL AFRICA,1441
