,tahun,jumlah,difference_amount,difference_pct
0,2020-01-01,118758,0.0,0.0
1,2020-02-01,135477,16719.0,14.07820946799374
2,2020-03-01,60733,-74744.0,-55.170988433461034
3,2020-04-01,7312,-53421.0,-87.96041690678874
4,2020-05-01,5960,-1352.0,-18.49015317286652
5,2020-06-01,18407,12447.0,208.84228187919462
6,2020-07-01,26210,7803.0,42.391481501602655
7,2020-08-01,26187,-23.0,-0.08775276611979743
8,2020-09-01,18974,-7213.0,-27.544201321266282
9,2020-10-01,18786,-188.0,-0.9908295562348512
10,2020-11-01,25234,6448.0,34.323432343234316
11,2020-12-01,25201,-33.0,-0.1307759372275452
