,Tahun,Bulan,Positif Harian,Tanggal
0,2020,3,741,2020-03-01
1,2020,4,3397,2020-04-01
2,2020,5,3134,2020-05-01
3,2020,6,4004,2020-06-01
4,2020,7,9925,2020-07-01
5,2020,8,19108,2020-08-01
6,2020,9,34059,2020-09-01
7,2020,10,31229,2020-10-01
8,2020,11,31264,2020-11-01
9,2020,12,46874,2020-12-01
10,2021,1,85983,2021-01-01
11,2021,2,70017,2021-02-01
12,2021,3,42320,2021-03-01
13,2021,4,26565,2021-04-01
14,2021,5,21439,2021-05-01
15,2021,6,113409,2021-06-01
16,2021,7,271185,2021-07-01
17,2021,8,35930,2021-08-01
