bulan,tahun,jumlah,destinasi_wisata
1,2020,6509,Museum
2,2020,5169,Museum
3,2020,1889,Museum
4,2020,0,Museum
5,2020,0,Museum
6,2020,39,Museum
7,2020,39,Museum
8,2020,44,Museum
9,2020,10,Museum
10,2020,29,Museum
11,2020,111,Museum
12,2020,55,Museum
1,2020,516,Taman Impian Jaya Ancol
1,2020,0,Taman Mini Indonesia Indah
1,2020,449,Taman Margasatwa Ragunan
1,2020,2070,Monumen Nasional
1,2020,1,Taman Arkeologi Onrust
1,2020,115,Pelabuhan Sunda Kelapa
1,2020,1352,Kepulauan Seribu
1,2020,2,PBB Setu babakan
1,2020,0,Planetarium
1,2020,0,Rumah si Pitung
1,2020,6009,Kawasan Kota Tua
2,2020,1689,Monumen Nasional
2,2020,0,Taman Mini Indonesia Indah
2,2020,395,Taman Impian Jaya Ancol
2,2020,372,Taman Margasatwa Ragunan
2,2020,0,Rumah si Pitung
2,2020,0,Planetarium
2,2020,7123,Kawasan Kota Tua
2,2020,800,Kepulauan Seribu
2,2020,61,Pelabuhan Sunda Kelapa
2,2020,4,Taman Arkeologi Onrust
2,2020,10,PBB Setu babakan
3,2020,0,Taman Mini Indonesia Indah
3,2020,580,Monumen Nasional
3,2020,82,Taman Margasatwa Ragunan
3,2020,0,Taman Arkeologi Onrust
3,2020,2144,Kawasan Kota Tua
3,2020,0,Rumah si Pitung
3,2020,0,Planetarium
3,2020,165,Taman Impian Jaya Ancol
3,2020,0,PBB Setu babakan
3,2020,419,Kepulauan Seribu
3,2020,0,Pelabuhan Sunda Kelapa
4,2020,0,Taman Impian Jaya Ancol
4,2020,0,Taman Mini Indonesia Indah
4,2020,0,Taman Margasatwa Ragunan
4,2020,0,Monumen Nasional
4,2020,0,Rumah si Pitung
4,2020,0,Planetarium
4,2020,0,PBB Setu babakan
4,2020,0,Kawasan Kota Tua
4,2020,0,Pelabuhan Sunda Kelapa
4,2020,0,Taman Arkeologi Onrust
4,2020,0,Kepulauan Seribu
5,2020,0,Planetarium
5,2020,0,PBB Setu babakan
5,2020,0,Rumah si Pitung
5,2020,0,Kepulauan Seribu
5,2020,0,Pelabuhan Sunda Kelapa
5,2020,0,Kawasan Kota Tua
5,2020,0,Taman Arkeologi Onrust
5,2020,0,Taman Impian Jaya Ancol
5,2020,0,Taman Mini Indonesia Indah
5,2020,0,Monumen Nasional
5,2020,0,Taman Margasatwa Ragunan
6,2020,0,Taman Mini Indonesia Indah
6,2020,3,Taman Margasatwa Ragunan
6,2020,0,Monumen Nasional
6,2020,0,Pelabuhan Sunda Kelapa
6,2020,48,Kepulauan Seribu
6,2020,0,PBB Setu babakan
6,2020,0,Taman Impian Jaya Ancol
6,2020,0,Planetarium
6,2020,0,Taman Arkeologi Onrust
6,2020,73,Kawasan Kota Tua
6,2020,0,Rumah si Pitung
7,2020,0,Planetarium
7,2020,0,Taman Impian Jaya Ancol
7,2020,0,Taman Mini Indonesia Indah
7,2020,7,Taman Margasatwa Ragunan
7,2020,0,Monumen Nasional
7,2020,1,Rumah si Pitung
7,2020,0,Taman Arkeologi Onrust
7,2020,0,Pelabuhan Sunda Kelapa
7,2020,221,Kepulauan Seribu
7,2020,0,PBB Setu babakan
7,2020,88,Kawasan Kota Tua
8,2020,0,Taman Impian Jaya Ancol
8,2020,0,Planetarium
8,2020,0,PBB Setu babakan
8,2020,209,Kepulauan Seribu
8,2020,0,Pelabuhan Sunda Kelapa
8,2020,0,Taman Arkeologi Onrust
8,2020,0,Monumen Nasional
8,2020,0,Taman Margasatwa Ragunan
8,2020,0,Taman Mini Indonesia Indah
8,2020,0,Rumah si Pitung
8,2020,125,Kawasan Kota Tua
9,2020,0,Rumah si Pitung
9,2020,41,Kawasan Kota Tua
9,2020,0,Taman Impian Jaya Ancol
9,2020,0,PBB Setu babakan
9,2020,87,Kepulauan Seribu
9,2020,0,Pelabuhan Sunda Kelapa
9,2020,0,Taman Arkeologi Onrust
9,2020,0,Planetarium
9,2020,0,Monumen Nasional
9,2020,43,Taman Margasatwa Ragunan
9,2020,0,Taman Mini Indonesia Indah
10,2020,27,Taman Margasatwa Ragunan
10,2020,0,Monumen Nasional
10,2020,0,Rumah si Pitung
10,2020,0,Taman Arkeologi Onrust
10,2020,0,Pelabuhan Sunda Kelapa
10,2020,126,Kepulauan Seribu
10,2020,0,PBB Setu babakan
10,2020,0,Planetarium
10,2020,139,Kawasan Kota Tua
10,2020,0,Taman Mini Indonesia Indah
10,2020,0,Taman Impian Jaya Ancol
11,2020,0,Rumah si Pitung
11,2020,45,Kawasan Kota Tua
11,2020,0,Taman Impian Jaya Ancol
11,2020,0,Taman Mini Indonesia Indah
11,2020,40,Taman Margasatwa Ragunan
11,2020,0,Monumen Nasional
11,2020,4,Taman Arkeologi Onrust
11,2020,4,Pelabuhan Sunda Kelapa
11,2020,138,Kepulauan Seribu
11,2020,0,PBB Setu babakan
11,2020,0,Planetarium
12,2020,0,Taman Arkeologi Onrust
12,2020,0,Pelabuhan Sunda Kelapa
12,2020,214,Kepulauan Seribu
12,2020,0,Rumah si Pitung
12,2020,0,Planetarium
12,2020,0,PBB Setu babakan
12,2020,0,Taman Mini Indonesia Indah
12,2020,0,Monumen Nasional
12,2020,31,Taman Margasatwa Ragunan
12,2020,0,Taman Impian Jaya Ancol
12,2020,0,Kawasan Kota Tua
