ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ascension of Jesus,Ascension of Jesus_lower,Ascension of Jesus_upper,Ascension of the Prophet,Ascension of the Prophet_lower,Ascension of the Prophet_upper,Birth of the Prophet,Birth of the Prophet_lower,Birth of the Prophet_upper,Buddha's Birthday,Buddha's Birthday_lower,Buddha's Birthday_upper,Chinese New Year,Chinese New Year_lower,Chinese New Year_upper,Christmas,Christmas_lower,Christmas_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Feast of the Sacrifice,Feast of the Sacrifice_lower,Feast of the Sacrifice_upper,Independence Day,Independence Day_lower,Independence Day_upper,Islamic New Year,Islamic New Year_lower,Islamic New Year_upper,Labor Day,Labor Day_lower,Labor Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Pancasila Day,Pancasila Day_lower,Pancasila Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-10,4234762.058899023,4220238.3280769,4248703.329216626,4234743.6304644635,4234762.058899023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,0.0,0.0,0.0,0.0,0.0,0.0,4234816.311681348
2021-10-11,4236952.516792644,4223503.083131693,4253282.800374574,4234875.497610089,4237457.319609944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,0.0,0.0,0.0,0.0,0.0,0.0,4237006.769574969
2021-10-12,4239142.974686265,4223912.031361965,4254141.837484771,4233011.529468369,4242491.773320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,0.0,0.0,0.0,0.0,0.0,0.0,4239197.22746859
2021-10-13,4241333.432579887,4223600.072638735,4258092.197414566,4230965.9256635625,4249492.6954094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,0.0,0.0,0.0,0.0,0.0,0.0,4241387.685362212
2021-10-14,4243523.890473508,4223468.484665386,4262167.895268444,4227699.4013038315,4255249.045381367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,0.0,0.0,0.0,0.0,0.0,0.0,4243578.143255834
2021-10-15,4245714.348367129,4221090.096601473,4264936.266900456,4222773.26237758,4263430.655405349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,0.0,0.0,0.0,0.0,0.0,0.0,4245768.601149455
2021-10-16,4247904.806260751,4219670.318463277,4274324.529581709,4219269.570863618,4272397.093863684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,0.0,0.0,0.0,0.0,0.0,0.0,4247959.059043076
2021-10-17,4250095.264154373,4212174.911179465,4284660.421661635,4213915.028388555,4281552.438017299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,0.0,0.0,0.0,0.0,0.0,0.0,4250149.516936698
2021-10-18,4252285.722047994,4207811.985055582,4294347.047077392,4208158.097279976,4292198.815419967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,0.0,0.0,0.0,0.0,0.0,0.0,4252339.974830319
2021-10-19,4254476.179941616,4203520.402961669,4303683.470789373,4200558.435479427,4304557.272411932,0.0,0.0,0.0,0.0,0.0,0.0,3056.9714279369964,3056.9714279369964,3056.9714279369964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.2242102620385,3111.2242102620385,3111.2242102620385,54.252782325041814,54.252782325041814,54.252782325041814,3056.9714279369964,3056.9714279369964,3056.9714279369964,0.0,0.0,0.0,4257587.404151878
2021-10-20,4256666.637835237,4193789.174682437,4313302.542929637,4193984.6097445874,4314626.926189512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,0.0,0.0,0.0,0.0,0.0,0.0,4256720.890617562
2021-10-21,4258857.095728858,4184562.6549777105,4328729.653412752,4187428.545553434,4322990.118623503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,0.0,0.0,0.0,0.0,0.0,0.0,4258911.348511184
2021-10-22,4261047.5536224805,4178816.326090161,4333303.416605349,4181368.965019745,4334315.637546994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325042,54.252782325042,54.252782325042,54.252782325042,54.252782325042,54.252782325042,0.0,0.0,0.0,0.0,0.0,0.0,4261101.806404806
2021-10-23,4263238.011516102,4169348.155893826,4342217.301005437,4176541.970661161,4345366.491253392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041885,54.252782325041885,54.252782325041885,54.252782325041885,54.252782325041885,54.252782325041885,0.0,0.0,0.0,0.0,0.0,0.0,4263292.264298427
2021-10-24,4265428.469409723,4166724.5663456777,4358140.951157209,4167769.3299764195,4356758.897573421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504211,54.25278232504211,54.25278232504211,54.25278232504211,54.25278232504211,54.25278232504211,0.0,0.0,0.0,0.0,0.0,0.0,4265482.722192048
2021-10-25,4267618.927303345,4153569.735221896,4368360.478536051,4158744.9562087487,4365926.1416747095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504184,54.25278232504184,54.25278232504184,54.25278232504184,54.25278232504184,54.25278232504184,0.0,0.0,0.0,0.0,0.0,0.0,4267673.18008567
2021-10-26,4269809.385196967,4154711.151693223,4377390.313310485,4152867.36728785,4376285.688652858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504207,54.25278232504207,54.25278232504207,54.25278232504207,54.25278232504207,54.25278232504207,0.0,0.0,0.0,0.0,0.0,0.0,4269863.637979292
2021-10-27,4271999.843090588,4142699.3044451512,4390337.157959355,4147775.2027197513,4387125.218236148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,54.252782325041956,0.0,0.0,0.0,0.0,0.0,0.0,4272054.0958729135
2021-10-28,4274190.3009842085,4128780.8747665826,4396380.172576385,4141321.0407934966,4397996.703377784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,54.25278232504203,0.0,0.0,0.0,0.0,0.0,0.0,4274244.553766534
2021-10-29,4276380.758877831,4125021.765178553,4407104.428065368,4133584.378638466,4408954.949858251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,54.252782325041906,0.0,0.0,0.0,0.0,0.0,0.0,4276435.011660156
2021-10-30,4278571.216771453,4123970.4455942716,4416625.0926259225,4125166.026943294,4420880.441386478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,54.25278232504214,0.0,0.0,0.0,0.0,0.0,0.0,4278625.469553778
2021-10-31,4280761.674665074,4114546.054853033,4435731.347988334,4115541.3184008338,4430702.8926282665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504202,54.25278232504202,54.25278232504202,54.25278232504202,54.25278232504202,54.25278232504202,0.0,0.0,0.0,0.0,0.0,0.0,4280815.927447399
2021-11-01,4282952.132558695,4102163.31472563,4446946.19158913,4106354.072120497,4442611.8769718055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,54.2527823250421,0.0,0.0,0.0,0.0,0.0,0.0,4283006.38534102
2021-11-02,4285142.590452317,4093433.1627398315,4454402.910996221,4097184.8713306254,4458772.038268539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,54.25278232504198,0.0,0.0,0.0,0.0,0.0,0.0,4285196.843234642
2021-11-03,4287333.048345939,4087760.8147301893,4472878.0927266935,4088015.670540752,4472342.172783066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,54.252782325041856,0.0,0.0,0.0,0.0,0.0,0.0,4287387.3011282645
2021-11-04,4289523.50623956,4082487.017311553,4492028.778579661,4078846.46975088,4492401.062531422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,0.0,0.0,0.0,0.0,0.0,0.0,4289577.759021886
2021-11-05,4291713.964133181,4072729.222358105,4504808.761499432,4069746.9822471812,4508965.795666372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325041814,54.252782325041814,54.252782325041814,54.252782325041814,54.252782325041814,54.252782325041814,0.0,0.0,0.0,0.0,0.0,0.0,4291768.216915506
2021-11-06,4293904.422026803,4061636.366708673,4520895.936278778,4060667.071915089,4524342.336450292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,54.25278232504204,0.0,0.0,0.0,0.0,0.0,0.0,4293958.674809128
2021-11-07,4296094.879920425,4046438.3480070354,4537105.054822213,4051587.1615829985,4535558.09760057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,54.25278232504193,0.0,0.0,0.0,0.0,0.0,0.0,4296149.13270275
2021-11-08,4298285.337814046,4040490.404490695,4544998.660089444,4042507.251250906,4548150.462587253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.252782325042,54.252782325042,54.252782325042,54.252782325042,54.252782325042,54.252782325042,0.0,0.0,0.0,0.0,0.0,0.0,4298339.590596371
